global_mass,global_volume,global_width,global_length,global_surface_area,global_divide,global_dead,cell_counts_AcrAB-TolC_RNA,cell_counts_AcrAB-TolC,cell_AcrAB-TolC_RNA,cell_AcrAB-TolC,cell_antibiotic,cell_porin,external_antibiotic,fluxes_import,time
2490.017636317796,2.2636523966525425e-15,1.0,3.215505080285876,9.316408974409317,0.0,0.0,1363.0,1204105.0,0.001,0.8832913027851393,0.26072091120953034,1e-20,1.000422747872158,0.0,2148.0
2490.736885469846,2.264306259518043e-15,1.0,3.2163376043430647,9.31902442587132,0.0,0.0,1363.0,1204612.0,0.001,0.8834080114823541,0.26058745912965353,1e-20,1.0004230493505615,0.0,2149.0
2491.456342379197,2.2649603112538163e-15,1.0,3.217170368877354,9.321640632814411,0.0,0.0,1363.0,1205119.0,0.001,0.8835246034708718,0.2604540370858655,1e-20,1.0004233508288314,0.0,2150.0
2492.1760071058598,2.2656145519144184e-15,1.0,3.2180033739582066,9.324257595456821,0.0,0.0,1364.0,1205626.0,0.001,0.883641078867401,0.2603206451124855,1e-20,1.0004236523069674,0.0,2151.0
2492.895879709863,2.2662689815544215e-15,1.0,3.2188366196551055,9.326875314016835,0.0,0.0,1364.0,1206133.0,0.001,0.8837574377885336,0.26018728324378226,1e-20,1.0004239537849697,0.0,2152.0
2493.615960251253,2.2669236002284122e-15,1.0,3.2196701060375523,9.329493788712796,0.0,0.0,1365.0,1206640.0,0.001,0.883873680350745,0.26005395151397426,1e-20,1.0004242552628384,0.0,2153.0
2494.336248790093,2.2675784079909945e-15,1.0,3.2205038331750715,9.332113019763124,0.0,0.0,1365.0,1207147.0,0.001,0.8839898066703943,0.25992064995722963,1e-20,1.0004245567405736,0.0,2154.0
2495.0567453864637,2.268233404896786e-15,1.0,3.2213378011372047,9.33473300738629,0.0,0.0,1365.0,1207655.0,0.001,0.8841058168637239,0.2597873786076662,1e-20,1.0004248582181752,0.0,2155.0
2495.7774501004633,2.2688885910004215e-15,1.0,3.2221720099935145,9.337353751800833,0.0,0.0,1366.0,1208162.0,0.001,0.8842217110468602,0.2596541374993517,1e-20,1.000425159695643,0.0,2156.0
2496.4983629922067,2.2695439663565523e-15,1.0,3.223006459813585,9.339975253225356,0.0,0.0,1366.0,1208669.0,0.001,0.8843374893358134,0.2595209266663034,1e-20,1.0004254611729775,0.0,2157.0
2497.219484121827,2.270199531019843e-15,1.0,3.2238411506670177,9.34259751187852,0.0,0.0,1367.0,1209176.0,0.001,0.8844531518464775,0.2593877461424885,1e-20,1.0004257626501785,0.0,2158.0
2497.9408135494746,2.2708552850449777e-15,1.0,3.2246760826234384,9.345220527979059,0.0,0.0,1367.0,1209683.0,0.001,0.8845686986946311,0.2592545959618241,1e-20,1.0004260641272458,0.0,2159.0
2498.6623513353165,2.271511228486652e-15,1.0,3.2255112557524876,9.347844301745756,0.0,0.0,1367.0,1210191.0,0.001,0.8846841299959365,0.25912147615817704,1e-20,1.0004263656041796,0.0,2160.0
2499.3840975395383,2.2721673613995805e-15,1.0,3.226346670123831,9.350468833397471,0.0,0.0,1368.0,1210698.0,0.001,0.8847994458659405,0.2589883867653642,1e-20,1.0004266670809803,0.0,2161.0
2500.1060522223415,2.272823683838493e-15,1.0,3.227182325807151,9.35309412315312,0.0,0.0,1368.0,1211206.0,0.001,0.8849146464200746,0.2588553278171523,1e-20,1.0004269685576475,0.0,2162.0
2500.828215443946,2.2734801958581335e-15,1.0,3.2280182228721515,9.355720171231681,0.0,0.0,1369.0,1211713.0,0.001,0.8850297317736545,0.2587222993472581,1e-20,1.0004272700341812,0.0,2163.0
2501.5505872645895,2.274136897513264e-15,1.0,3.228854361388556,9.358346977852204,0.0,0.0,1369.0,1212220.0,0.001,0.8851447020418809,0.2585893013893483,1e-20,1.0004275715105817,0.0,2164.0
2502.273167744526,2.2747937888586608e-15,1.0,3.2296907414261096,9.360974543233791,0.0,0.0,1369.0,1212728.0,0.001,0.885259557339839,0.2584563339770397,1e-20,1.0004278729868488,0.0,2165.0
2502.995956944027,2.2754508699491163e-15,1.0,3.2305273630545757,9.363602867595613,0.0,0.0,1370.0,1213235.0,0.001,0.8853742977824991,0.25832339714389907,1e-20,1.0004281744629826,0.0,2166.0
2503.718954923382,2.276108140839439e-15,1.0,3.231364226343737,9.366231951156902,0.0,0.0,1370.0,1213743.0,0.001,0.8854889234847166,0.2581904909234433,1e-20,1.0004284759389832,0.0,2167.0
2504.4421617428984,2.2767656015844537e-15,1.0,3.2322013313634015,9.368861794136961,0.0,0.0,1371.0,1214251.0,0.001,0.8856034345612319,0.2580576153491395,1e-20,1.0004287774148506,0.0,2168.0
2505.1655774628994,2.277423252239e-15,1.0,3.2330386781833904,9.371492396755146,0.0,0.0,1371.0,1214758.0,0.001,0.8857178311266707,0.2579247704544049,1e-20,1.000429078890585,0.0,2169.0
2505.889202143727,2.278081092857934e-15,1.0,3.233876266873551,9.374123759230883,0.0,0.0,1371.0,1215266.0,0.001,0.885832113295544,0.2577919562726068,1e-20,1.0004293803661861,0.0,2170.0
2506.61303584574,2.2787391234961276e-15,1.0,3.234714097503746,9.376755881783659,0.0,0.0,1372.0,1215774.0,0.001,0.8859462811822485,0.2576591728370629,1e-20,1.000429681841654,0.0,2171.0
2507.3370786293144,2.2793973442084684e-15,1.0,3.2355521701438623,9.379388764633022,0.0,0.0,1372.0,1216281.0,0.001,0.8860603349010663,0.257526420181041,1e-20,1.000429983316989,0.0,2172.0
2508.061330554845,2.2800557550498597e-15,1.0,3.236390484863804,9.382022407998587,0.0,0.0,1373.0,1216789.0,0.001,0.8861742745661653,0.2573936983377592,1e-20,1.0004302847921909,0.0,2173.0
2508.7857916827425,2.2807143560752213e-15,1.0,3.2372290417334972,9.384656812100033,0.0,0.0,1373.0,1217297.0,0.001,0.8862881002915991,0.2572610073403861,1e-20,1.0004305862672598,0.0,2174.0
2509.5104620734355,2.2813731473394874e-15,1.0,3.238067840822887,9.387291977157098,0.0,0.0,1373.0,1217805.0,0.001,0.8864018121913075,0.2571283472220403,1e-20,1.0004308877421957,0.0,2175.0
